Date, Open, High, Low, Close, Volume
10/14/13, 124.37, 124.50, 123.6101, 123.66, 6343
10/11/13, 124.92, 124.98, 124.37, 124.37, 65782
10/10/13, 123.93, 124.2899, 123.764, 124.23, 76955
10/09/13, 124.74, 124.83, 124.46, 124.55, 16710
10/08/13, 124.835, 125.1243, 124.69, 124.87, 21488
10/07/13, 125.11, 125.2818, 124.819, 124.88, 3314
10/04/13, 124.80, 124.84, 124.4601, 124.612, 30770
10/03/13, 124.71, 125.29, 124.71, 124.964, 8420
10/02/13, 124.9793, 125.3224, 124.8356, 124.989, 12362
10/01/13, 124.79, 124.84, 124.56, 124.69, 23547
09/30/13, 125.2817, 125.2817, 124.91, 125.19, 36720
09/27/13, 125.10, 125.42, 125.08, 125.17, 32654
09/26/13, 124.91, 125.04, 124.76, 124.84, 62047
09/25/13, 124.79, 125.42, 124.79, 125.345, 10946
09/24/13, 124.36, 124.97, 124.31, 124.89, 24030
09/23/13, 123.44, 124.136, 123.44, 124.08, 14805
09/20/13, 123.55, 123.8343, 123.39, 123.622, 5334
09/19/13, 123.79, 123.79, 123.3501, 123.38, 13073
09/18/13, 122.34, 124.35, 121.51, 124.186, 39294
09/17/13, 122.43, 122.522, 122.155, 122.47, 52302
09/16/13, 123.22, 123.28, 122.0001, 122.05, 4726
09/13/13, 121.99, 122.35, 121.97, 122.195, 78805
09/12/13, 122.29, 122.38, 121.82, 121.82, 9696
09/11/13, 121.4005, 121.7681, 121.15, 121.72, 44609
09/10/13, 121.17, 121.6016, 121.03, 121.03, 52334
09/09/13, 122.10, 122.26, 121.645, 121.645, 38940
09/06/13, 121.77, 122.0008, 121.3864, 121.47, 27160
09/05/13, 120.38, 122.3489, 118.3015, 120.88, 13587
09/04/13, 122.363, 122.363, 121.9435, 121.96, 5235
09/03/13, 122.43, 122.55, 121.69, 122.26, 22502
08/30/13, 123.68, 123.94, 123.50, 123.67, 101199
08/29/13, 123.05, 123.90, 123.02, 123.81, 20936
08/28/13, 123.54, 123.561, 123.1707, 123.40, 34803
08/27/13, 123.54, 124.21, 123.39, 124.00, 51904
08/26/13, 123.11, 123.13, 122.8477, 123.12, 59084
08/23/13, 121.91, 122.94, 121.79, 122.79, 15109
08/22/13, 121.66, 122.00, 121.48, 121.89, 21133
08/21/13, 122.18, 122.4992, 121.0801, 121.69, 23133
08/20/13, 122.26, 122.52, 122.19, 122.45, 44003
08/19/13, 121.92, 121.9904, 121.54, 121.71, 16308
08/16/13, 122.80, 122.80, 121.87, 122.35, 20105
08/15/13, 122.72, 123.20, 122.57, 122.80, 49799
08/14/13, 123.43, 123.7501, 123.43, 123.58, 12815
08/13/13, 123.75, 123.81, 123.38, 123.54, 48723
08/12/13, 125.51, 125.51, 124.77, 124.77, 25470
08/09/13, 124.78, 125.21, 124.78, 125.15, 23915
08/08/13, 124.88, 125.17, 124.83, 124.95, 10897
08/07/13, 124.36, 124.73, 124.30, 124.718, 9688
08/06/13, 124.00, 124.13, 123.82, 124.05, 14232
08/05/13, 124.21, 124.22, 123.87, 124.01, 7265
08/02/13, 123.40, 124.59, 122.57, 124.46, 12723
08/01/13, 124.33, 124.33, 123.17, 123.30, 185682
07/31/13, 124.00, 125.31, 123.84, 125.13, 112047
07/30/13, 125.24, 125.253, 124.80, 124.90, 24707
07/29/13, 125.32, 125.32, 124.86, 125.02, 8050
07/26/13, 125.50, 125.5575, 125.30, 125.55, 9568
07/25/13, 124.75, 125.2355, 124.60, 125.22, 6945
07/24/13, 125.05, 125.22, 124.6117, 125.06, 58005
07/23/13, 125.788, 126.08, 125.77, 125.99, 11543
07/22/13, 126.42, 126.54, 126.1879, 126.24, 17779
07/19/13, 125.78, 126.31, 125.78, 126.30, 9592
07/18/13, 125.96, 125.96, 125.32, 125.32, 15556
07/17/13, 126.40, 126.47, 125.9554, 126.0624, 18160
07/16/13, 125.60, 125.84, 125.53, 125.73, 10306
07/15/13, 125.19, 125.52, 125.19, 125.52, 18557
07/12/13, 125.61, 125.64, 124.89, 125.149, 16864
07/11/13, 124.78, 125.225, 124.598, 125.09, 59344
07/10/13, 123.89, 124.4056, 123.76, 123.84, 55793
07/09/13, 124.74, 124.74, 124.3801, 124.48, 38043
07/08/13, 124.02, 124.60, 124.02, 124.36, 12762
07/05/13, 124.06, 124.06, 123.42, 123.42, 24540
07/03/13, 126.38, 126.62, 126.14, 126.2531, 11065
07/02/13, 126.39, 126.62, 126.29, 126.411, 14768
07/01/13, 126.04, 126.434, 125.92, 126.41, 35407
06/28/13, 125.93, 126.6399, 125.93, 126.55, 60888
06/27/13, 126.49, 126.6869, 126.03, 126.60, 57515
06/26/13, 126.04, 126.08, 125.29, 125.77, 48867
06/25/13, 125.86, 125.90, 125.06, 125.08, 69805
06/24/13, 124.78, 126.09, 124.78, 125.47, 109984
06/21/13, 126.93, 127.0799, 125.62, 125.63, 35634
06/20/13, 127.20, 127.5699, 126.17, 127.17, 85374
06/19/13, 129.96, 130.01, 127.9101, 128.399, 14094
06/18/13, 129.36, 130.049, 129.36, 129.89, 24648
06/17/13, 130.45, 130.45, 129.78, 129.81, 44053
06/14/13, 130.57, 130.908, 130.40, 130.584, 9539
06/13/13, 129.54, 130.48, 129.54, 130.40, 32582
06/12/13, 129.46, 130.06, 129.03, 129.03, 23056
06/11/13, 128.93, 130.02, 128.77, 130.02, 74736
06/10/13, 129.68, 129.74, 129.17, 129.41, 21148
06/07/13, 130.62, 130.83, 129.82, 129.88, 22443
06/06/13, 130.97, 132.19, 130.62, 131.12, 49583
06/05/13, 130.50, 131.08, 130.4701, 131.021, 24697
06/04/13, 130.18, 130.53, 130.0408, 130.16, 72799
06/03/13, 129.96, 131.2008, 129.95, 130.61, 73166
05/31/13, 131.09, 131.173, 129.7601, 130.66, 87845
05/30/13, 131.12, 131.1799, 130.66, 131.08, 123284
05/29/13, 130.55, 130.98, 130.50, 130.9464, 51768
05/28/13, 131.82, 131.91, 130.14, 130.23, 41763
05/24/13, 132.41, 132.7295, 132.2601, 132.44, 24556
05/23/13, 132.56, 132.71, 131.72, 132.254, 40821
05/22/13, 133.54, 133.82, 131.87, 131.8819, 73320
05/21/13, 132.69, 133.404, 132.4272, 133.36, 27130
05/20/13, 133.24, 133.29, 132.766, 132.77, 5068
05/17/13, 133.57, 133.67, 132.99, 133.03, 16705
05/16/13, 133.59, 134.2091, 133.59, 133.97, 13441
05/15/13, 133.29, 133.479, 132.708, 133.101, 24677
05/14/13, 133.84, 133.84, 132.6502, 132.68, 8184
05/13/13, 133.44, 133.629, 133.30, 133.46, 40465
05/10/13, 134.75, 134.75, 133.45, 133.89, 15949
05/09/13, 135.26, 135.6699, 135.01, 135.02, 40531
05/08/13, 135.05, 135.24, 134.90, 135.02, 70205
05/07/13, 134.82, 135.02, 134.772, 134.83, 51549
05/06/13, 135.50, 135.55, 134.9425, 135.10, 44538
05/03/13, 136.18, 136.18, 135.27, 135.40, 93999
05/02/13, 137.18, 137.35, 137.07, 137.34, 84439
05/01/13, 137.17, 137.49, 137.12, 137.36, 1386273
04/30/13, 137.1099, 137.3999, 136.67, 136.81, 23654
04/29/13, 137.15, 137.23, 136.826, 136.849, 5229
04/26/13, 136.96, 137.18, 136.83, 137.12, 46796
04/25/13, 136.29, 136.385, 136.158, 136.34, 15390
04/24/13, 136.45, 136.6588, 136.365, 136.60, 17819
04/23/13, 136.92, 137.10, 135.67, 136.3999, 53530
04/22/13, 136.67, 136.83, 136.4701, 136.57, 68010
04/19/13, 136.33, 136.54, 136.33, 136.54, 8431
04/18/13, 136.44, 136.74, 136.44, 136.73, 11592
04/17/13, 136.09, 136.87, 136.09, 136.50, 129254
04/16/13, 135.96, 136.22, 135.9228, 136.01, 12289
04/15/13, 136.12, 136.63, 136.01, 136.57, 21381
04/12/13, 135.54, 136.052, 135.458, 136.01, 17881
04/11/13, 134.93, 135.02, 134.7995, 134.87, 51113
04/10/13, 135.07, 135.10, 134.63, 134.66, 53613
04/09/13, 135.89, 136.00, 135.4901, 135.58, 11317
04/08/13, 136.18, 136.3499, 135.666, 135.73, 69495
04/05/13, 136.03, 136.5275, 136.03, 136.32, 60361
04/04/13, 134.63, 135.16, 134.57, 135.04, 44780
04/03/13, 133.78, 134.51, 133.78, 134.33, 57640
04/02/13, 133.58, 133.75, 133.43, 133.60, 1425321
04/01/13, 133.59, 134.90, 133.478, 133.85, 91504
03/28/13, 133.85, 134.0599, 133.71, 133.75, 13035
03/27/13, 133.76, 134.15, 133.76, 133.88, 19892
03/26/13, 132.70, 133.21, 132.68, 133.12, 66131
03/25/13, 132.51, 133.042, 132.51, 132.942, 13375
03/22/13, 132.94, 133.076, 132.73, 132.94, 21807
03/21/13, 132.89, 132.90, 132.52, 132.83, 10116
03/20/13, 132.53, 132.76, 132.342, 132.37, 14338
03/19/13, 132.71, 133.3064, 132.60, 133.026, 21000
03/18/13, 132.53, 132.5695, 132.21, 132.48, 37613
03/15/13, 131.26, 131.78, 131.26, 131.78, 77323
03/14/13, 130.91, 131.41, 130.91, 131.19, 43297
03/13/13, 131.16, 131.4199, 131.0301, 131.29, 39787
03/12/13, 131.14, 131.49, 131.14, 131.37, 30674
03/11/13, 130.98, 131.05, 130.79, 130.90, 19258
03/08/13, 130.77, 131.20, 130.75, 130.91, 80394
03/07/13, 132.00, 132.09, 131.68, 131.76, 29761
03/06/13, 132.52, 132.74, 132.37, 132.37, 50470
03/05/13, 133.16, 133.18, 132.982, 133.11, 26289
03/04/13, 133.65, 133.79, 133.35, 133.37, 31089
03/01/13, 133.64, 133.8334, 133.50, 133.77, 40821
02/28/13, 133.56, 133.616, 133.269, 133.50, 45582
02/27/13, 134.27, 134.27, 133.2975, 133.38, 26830
02/26/13, 133.69, 134.15, 133.46, 133.58, 174930
02/25/13, 131.91, 133.93, 131.91, 133.93, 122637
02/22/13, 132.32, 132.52, 132.32, 132.40, 34896
02/21/13, 132.30, 132.49, 132.1801, 132.25, 74481
02/20/13, 131.35, 131.864, 131.35, 131.82, 158237
02/19/13, 132.1699, 132.1699, 131.54, 131.5824, 82161
02/15/13, 131.95, 131.9999, 131.50, 131.929, 294929
02/14/13, 131.75, 132.042, 131.412, 131.98, 791095
02/13/13, 131.15, 131.5689, 131.1407, 131.212, 28126
02/12/13, 131.97, 132.127, 131.76, 131.91, 28314
02/11/13, 132.11, 132.3611, 132.1005, 132.13, 16502
02/08/13, 132.04, 132.23, 131.72, 132.19, 54488
02/07/13, 131.98, 132.49, 131.98, 132.02, 38246
02/06/13, 131.84, 132.10, 131.6001, 132.079, 75196
02/05/13, 131.53, 131.58, 131.32, 131.54, 112049
02/04/13, 131.83, 132.246, 131.687, 132.07, 183533
02/01/13, 132.54, 132.69, 131.11, 131.13, 266655
01/31/13, 132.08, 132.20, 131.79, 132.17, 527212
01/30/13, 131.77, 132.02, 131.53, 132.02, 130613
01/29/13, 132.43, 132.6894, 131.966, 132.07, 46405
01/28/13, 131.98, 132.47, 131.98, 132.45, 70354
01/25/13, 133.18, 133.1999, 132.6378, 132.82, 89658
01/24/13, 134.05, 134.1799, 133.734, 134.01, 16436
01/23/13, 134.35, 134.49, 134.206, 134.26, 39765
01/22/13, 133.73, 134.2999, 133.73, 134.24, 30079
01/18/13, 133.78, 134.1399, 133.78, 134.07, 146390
01/17/13, 133.73, 133.7895, 133.4199, 133.58, 27227
01/16/13, 134.47, 134.54, 134.19, 134.34, 40259
01/15/13, 134.37, 134.466, 134.0464, 134.11, 44872
01/14/13, 134.00, 134.12, 133.70, 133.75, 47314
01/11/13, 132.98, 133.774, 132.929, 133.77, 16415
01/10/13, 133.21, 133.54, 133.122, 133.23, 23778
01/09/13, 133.65, 133.84, 133.464, 133.65, 135818
01/08/13, 133.52, 133.6694, 133.44, 133.61, 56736
01/07/13, 133.12, 133.2899, 132.878, 133.16, 52122
01/04/13, 132.85, 133.14, 132.57, 133.14, 211982
01/03/13, 133.94, 133.95, 132.97, 133.04, 123829
01/02/13, 134.01, 134.22, 133.86, 133.95, 402526
12/31/12, 135.84, 135.84, 134.206, 134.86, 59658
12/28/12, 136.05, 136.20, 135.84, 136.20, 113467
12/27/12, 135.22, 136.0203, 135.22, 135.67, 19542
12/26/12, 135.22, 135.4484, 135.22, 135.36, 9180
12/24/12, 135.39, 135.39, 135.298, 135.35, 8634
12/21/12, 135.56, 135.63, 135.37, 135.41, 68654
12/20/12, 135.03, 135.16, 134.6795, 134.73, 19810
12/19/12, 134.66, 135.078, 134.6009, 134.67, 161953
12/18/12, 134.96, 135.19, 134.182, 134.42, 15501
12/17/12, 136.17, 136.179, 135.23, 135.23, 18003
12/14/12, 136.11, 136.346, 136.026, 136.32, 23761
12/13/12, 135.66, 136.14, 135.594, 135.89, 13417
12/12/12, 136.72, 136.94, 135.99, 136.006, 28344
12/11/12, 136.99, 136.99, 136.76, 136.88, 18070
12/10/12, 137.49, 137.49, 137.19, 137.37, 27521
12/07/12, 137.16, 137.521, 137.14, 137.16, 23248
12/06/12, 138.15, 138.2195, 137.86, 137.87, 96651
12/05/12, 137.83, 138.0397, 137.67, 137.76, 25101
12/04/12, 137.52, 137.752, 137.43, 137.70, 29794
12/03/12, 138.05, 138.05, 136.86, 137.38, 83676
11/30/12, 137.94, 137.94, 137.53, 137.65, 77468
11/29/12, 137.59, 137.83, 137.38, 137.71, 26344
11/28/12, 137.88, 137.96, 137.52, 137.59, 12207
11/27/12, 137.27, 137.43, 137.1101, 137.43, 26799
11/26/12, 137.21, 137.5199, 136.99, 137.07, 21129
11/23/12, 136.72, 136.84, 136.6201, 136.71, 14463
11/21/12, 136.87, 136.87, 136.70, 136.78, 247283
11/20/12, 137.55, 137.619, 137.00, 137.00, 39649
11/19/12, 137.62, 137.87, 137.51, 137.80, 38627
11/16/12, 138.206, 138.669, 138.16, 138.19, 29941
11/15/12, 137.92, 138.50, 137.92, 138.35, 137781
11/14/12, 137.73, 138.38, 137.72, 138.34, 24176
11/13/12, 138.43, 138.43, 137.9001, 138.19, 31124
11/12/12, 137.95, 138.10, 137.85, 138.09, 16204
11/09/12, 137.70, 137.95, 137.4601, 137.89, 23397
11/08/12, 136.64, 137.74, 136.475, 137.73, 40279
11/07/12, 136.69, 136.93, 136.555, 136.62, 33340
11/06/12, 135.80, 135.8999, 135.13, 135.17, 25391
11/05/12, 135.81, 136.0965, 135.81, 135.94, 15396
11/02/12, 134.89, 135.49, 134.8625, 135.49, 18111
11/01/12, 135.68, 135.75, 135.272, 135.4999, 13217
10/31/12, 135.62, 136.24, 135.62, 136.07, 123207
10/26/12, 134.73, 135.33, 134.65, 135.32, 17496
10/25/12, 133.93, 134.50, 133.79, 134.21, 19030
10/24/12, 134.76, 134.96, 134.6399, 134.71, 25693
10/23/12, 134.96, 135.214, 134.91, 135.17, 19442
10/22/12, 134.52, 134.714, 134.28, 134.28, 29282
10/19/12, 134.04, 134.9299, 134.04, 134.79, 147177
10/18/12, 134.45, 134.6003, 133.78, 133.93, 380378
10/17/12, 134.77, 134.79, 134.2067, 134.28, 33994
10/16/12, 135.88, 135.88, 135.37, 135.38, 18555
10/15/12, 136.43, 136.5894, 136.1603, 136.30, 16792
10/12/12, 136.45, 136.88, 136.33, 136.43, 14284
10/11/12, 135.34, 136.28, 135.30, 136.28, 47319
10/10/12, 135.07, 135.94, 134.92, 135.91, 16745
10/09/12, 135.17, 135.56, 135.09, 135.35, 22765
10/08/12, 135.55, 135.619, 135.31, 135.55, 11876
10/05/12, 135.19, 135.28, 134.842, 134.98, 41038
10/04/12, 136.33, 136.52, 135.8478, 135.96, 37153
10/03/12, 136.50, 136.77, 136.3799, 136.77, 14640
10/02/12, 136.45, 136.83, 136.39, 136.73, 53156
10/01/12, 136.51, 136.83, 136.28, 136.76, 78199
09/28/12, 136.99, 137.20, 136.48, 136.74, 53789
09/27/12, 136.78, 136.9183, 136.48, 136.65, 20566
09/26/12, 136.65, 137.08, 136.6101, 137.08, 13984
09/25/12, 135.51, 136.08, 135.118, 136.08, 14285
09/24/12, 135.14, 135.4593, 135.14, 135.29, 22179
09/21/12, 134.29, 134.8394, 134.22, 134.83, 17252
09/20/12, 135.14, 135.14, 134.30, 134.54, 22554
09/19/12, 134.55, 134.63, 134.24, 134.39, 17896
09/18/12, 134.24, 134.254, 133.90, 133.99, 40066
09/17/12, 133.14, 133.673, 133.14, 133.53, 120231
09/14/12, 133.85, 133.87, 132.7501, 132.98, 114059
09/13/12, 135.42, 135.64, 133.9801, 134.96, 83348
09/12/12, 135.13, 135.255, 134.814, 135.04, 39690
09/11/12, 136.20, 136.28, 135.8301, 135.92, 193438
09/10/12, 136.19, 136.404, 135.95, 136.38, 30694
09/07/12, 137.55, 137.55, 136.25, 136.25, 44024
09/06/12, 136.86, 136.86, 136.29, 136.42, 51131
09/05/12, 137.77, 137.98, 137.51, 137.58, 32955
09/04/12, 137.87, 138.222, 137.70, 137.97, 389446
08/31/12, 137.29, 138.43, 137.29, 138.35, 106639
08/30/12, 137.53, 137.63, 137.35, 137.38, 18016
08/29/12, 137.07, 137.07, 136.66, 136.87, 23881
08/28/12, 137.16, 137.50, 137.03, 137.19, 19076
08/27/12, 136.77, 137.0599, 136.77, 136.96, 19311
08/24/12, 136.89, 136.9375, 136.4899, 136.50, 10689
08/23/12, 136.44, 136.70, 136.41, 136.53, 35908
