Date, Open, High, Low, Close
11/01/13,435.38,437.16,437.16,437.16
10/31/13,437.77,435.38,435.38,435.38
10/30/13,441.28,437.76,437.76,437.76
10/29/13,437.31,441.29,441.29,441.29
10/28/13,432.18,437.42,437.42,437.42
10/25/13,431.01,432.23,432.23,432.23
10/24/13,431.83,431.01,431.01,431.01
10/23/13,431.21,431.83,431.83,431.83
10/22/13,425.47,431.29,431.29,431.29
10/21/13,426.63,425.45,425.45,425.45
10/18/13,425.72,426.62,426.62,426.62
10/17/13,421.45,425.8,425.8,425.8
10/16/13,415.35,421.53,421.53,421.53
10/15/13,419.3,415.76,415.76,415.76
10/14/13,417.69,419.34,419.34,419.34
10/11/13,416.63,417.7,417.7,417.7
10/10/13,408.96,416.62,416.62,416.62
10/09/13,408.4,408.89,408.89,408.89
10/08/13,408.51,408.47,408.47,408.47
10/07/13,410.45,408.57,408.57,408.57
10/04/13,409.88,410.53,410.53,410.53
10/03/13,411.68,409.83,409.83,409.83
10/02/13,412.54,411.71,411.71,411.71
10/01/13,410.23,412.61,412.61,412.61
09/30/13,414.59,410.24,410.24,410.24
09/27/13,417.13,414.6,414.6,414.6
09/26/13,415,417.16,417.16,417.16
09/25/13,418.17,415.05,415.05,415.05
09/24/13,420.71,418.17,418.17,418.17
09/23/13,423.28,421.12,421.12,421.12
09/20/13,425.85,423.28,423.28,423.28
09/19/13,427.89,425.89,425.89,425.89
09/18/13,422.57,427.89,427.89,427.89
09/17/13,421.22,422.59,422.59,422.59
09/16/13,417.54,421.23,421.23,421.23
09/13/13,414.17,417.52,417.52,417.52
09/12/13,414.16,414.15,414.15,414.15
09/11/13,411.67,414.76,414.76,414.76
09/10/13,411.35,411.66,411.66,411.66
09/09/13,408.21,411.33,411.33,411.33
09/06/13,407.63,408.2,408.2,408.2
09/05/13,408.06,407.68,407.68,407.68
09/04/13,405.91,408.07,408.07,408.07
09/03/13,406.33,406.25,406.25,406.25
08/30/13,405.16,406.32,406.32,406.32
08/29/13,403.28,405.12,405.12,405.12
08/28/13,406.17,403.32,403.32,403.32
08/27/13,408.68,406.26,406.26,406.26
08/26/13,413.4,408.76,408.76,408.76
08/23/13,410.96,413.41,413.41,413.41
08/22/13,409.12,410.93,410.93,410.93
08/21/13,412.21,409.11,409.11,409.11
08/20/13,412.54,412.22,412.22,412.22
08/19/13,414.21,412.56,412.56,412.56
08/16/13,416.98,414.23,414.23,414.23
08/15/13,423.59,417.06,417.06,417.06
08/14/13,426.78,423.75,423.75,423.75
08/13/13,426.71,426.8,426.8,426.8
08/12/13,427.86,426.68,426.68,426.68
08/09/13,429.7,427.89,427.89,427.89
08/08/13,427.7,429.77,429.77,429.77
08/07/13,429.66,427.68,427.68,427.68
08/06/13,430.41,429.93,429.93,429.93
08/05/13,430.21,430.53,430.53,430.53
08/02/13,430,430.21,430.21,430.21
08/01/13,425.7,430.01,430.01,430.01
07/31/13,426.49,425.66,425.66,425.66
07/30/13,427.02,426.45,426.45,426.45
07/29/13,428.15,427.01,427.01,427.01
07/26/13,428.43,428.26,428.26,428.26
07/25/13,426.56,428.46,428.46,428.46
07/24/13,429.3,426.58,426.58,426.58
07/23/13,430.35,429.28,429.28,429.28
07/22/13,430.99,430.35,430.35,430.35
07/19/13,428.72,431.02,431.02,431.02
07/18/13,427.28,428.78,428.78,428.78
07/17/13,426.29,427.37,427.37,427.37
07/16/13,428.14,426.73,426.73,426.73
07/15/13,428.04,428.18,428.18,428.18
07/12/13,427.52,428.03,428.03,428.03
07/11/13,421.12,427.53,427.53,427.53
07/10/13,420.56,421.1,421.1,421.1
07/09/13,417.18,420.55,420.55,420.55
07/08/13,413.14,417.15,417.15,417.15
07/05/13,412.34,413.13,413.13,413.13
07/03/13,413.32,412.32,412.32,412.32
07/02/13,412.73,413.36,413.36,413.36
07/01/13,409.79,412.79,412.79,412.79
06/28/13,412.22,409.77,409.77,409.77
06/27/13,410.55,412.24,412.24,412.24
06/26/13,406.3,410.51,410.51,410.51
06/25/13,405.7,406.34,406.34,406.34
06/24/13,407.94,406.06,406.06,406.06
06/21/13,402.3,407.98,407.98,407.98
06/20/13,414.84,402.28,402.28,402.28
06/19/13,423.29,414.88,414.88,414.88
06/18/13,421.42,423.29,423.29,423.29
06/17/13,418.09,421.44,421.44,421.44
06/14/13,418.94,418.06,418.06,418.06
06/13/13,415.09,418.94,418.94,418.94
06/12/13,416.93,415.11,415.11,415.11
06/11/13,418.63,417.45,417.45,417.45
06/10/13,419.02,418.73,418.73,418.73
06/07/13,414.04,419.01,419.01,419.01
06/06/13,411.91,413.91,413.91,413.91
06/05/13,416.54,411.95,411.95,411.95
06/04/13,416.8,416.89,416.89,416.89
06/03/13,412.3,416.79,416.79,416.79
05/31/13,419.84,412.3,412.3,412.3
05/30/13,421.49,419.87,419.87,419.87
05/29/13,429.66,421.52,421.52,421.52
05/28/13,429.38,429.77,429.77,429.77
05/24/13,425.28,429.37,429.37,429.37
05/23/13,426.88,425.3,425.3,425.3
05/22/13,427.62,427.04,427.04,427.04
05/21/13,427.65,427.65,427.65,427.65
05/20/13,431.83,427.65,427.65,427.65
05/17/13,431.19,431.84,431.84,431.84
05/16/13,434.09,431.25,431.25,431.25
05/15/13,429.59,434.1,434.1,434.1
05/14/13,425.01,429.64,429.64,429.64
05/13/13,424.32,425.04,425.04,425.04
05/10/13,422.51,424.37,424.37,424.37
05/09/13,425.48,422.52,422.52,422.52
05/08/13,425.14,425.5,425.5,425.5
05/07/13,421.96,425.35,425.35,425.35
05/06/13,425.15,421.93,421.93,421.93
05/03/13,423.31,425.16,425.16,425.16
05/02/13,421.73,423.28,423.28,423.28
05/01/13,422.36,421.73,421.73,421.73
04/30/13,423.08,422.39,422.39,422.39
04/29/13,421.7,423.09,423.09,423.09
04/26/13,421.62,421.72,421.72,421.72
04/25/13,420.38,421.66,421.66,421.66
04/24/13,427.37,420.37,420.37,420.37
04/23/13,424.43,427.79,427.79,427.79
04/22/13,423.21,424.41,424.41,424.41
04/19/13,416.75,423.37,423.37,423.37
04/18/13,417.43,416.89,416.89,416.89
04/17/13,420.94,417.42,417.42,417.42
04/16/13,413.89,420.98,420.98,420.98
04/15/13,420.16,413.86,413.86,413.86
04/12/13,418.65,420.17,420.17,420.17
04/11/13,416.81,418.65,418.65,418.65
04/10/13,413.66,416.83,416.83,416.83
04/09/13,414.06,413.66,413.66,413.66
04/08/13,409.52,414.02,414.02,414.02
04/05/13,412.36,409.59,409.59,409.59
04/04/13,410.26,412.38,412.38,412.38
04/03/13,414.82,410.24,410.24,410.24
04/02/13,410.44,414.86,414.86,414.86
04/01/13,410.47,410.4,410.4,410.4
03/28/13,408.42,410.47,410.47,410.47
03/27/13,409.29,408.42,408.42,408.42
03/26/13,405.21,409.36,409.36,409.36
03/25/13,406.02,405.61,405.61,405.61
03/22/13,402.34,406.01,406.01,406.01
03/21/13,403.35,402.34,402.34,402.34
03/20/13,399.6,403.46,403.46,403.46
03/19/13,396.63,399.58,399.58,399.58
03/18/13,397.69,396.64,396.64,396.64
03/15/13,399.66,397.73,397.73,397.73
03/14/13,398.23,399.68,399.68,399.68
03/13/13,397.45,398.22,398.22,398.22
03/12/13,398.46,398,398,398
03/11/13,398.15,398.46,398.46,398.46
03/08/13,397.3,398.17,398.17,398.17
03/07/13,397.65,397.49,397.49,397.49
03/06/13,398.25,397.59,397.59,397.59
03/05/13,397.13,398.41,398.41,398.41
03/04/13,394.01,397.13,397.13,397.13
03/01/13,392.75,394.01,394.01,394.01
02/28/13,393.09,392.78,392.78,392.78
02/27/13,390.47,393.14,393.14,393.14
02/26/13,389.4,390.76,390.76,390.76
02/25/13,394.69,389.41,389.41,389.41
02/22/13,392.69,394.67,394.67,394.67
02/21/13,391.53,392.64,392.64,392.64
02/20/13,392.13,391.56,391.56,391.56
02/19/13,388.07,392.12,392.12,392.12
02/15/13,387.2,388.08,388.08,388.08
02/14/13,386.77,387.21,387.21,387.22
02/13/13,386.31,386.66,386.66,386.66
02/12/13,386.92,386.41,386.41,386.41
02/11/13,387.34,386.96,386.96,386.96
02/08/13,387.43,387.35,387.35,387.35
02/07/13,385.32,387.53,387.53,387.53
02/06/13,384.9,385.49,385.49,385.49
02/05/13,380.67,384.95,384.95,384.95
02/04/13,383.99,380.63,380.63,380.63
02/01/13,381.14,384.09,384.09,384.09
01/31/13,381.65,381.12,381.12,381.12
01/30/13,382.22,381.66,381.66,381.66
01/29/13,379.99,382.27,382.27,382.27
01/28/13,379.75,380.06,380.06,380.06
01/25/13,377.8,379.71,379.71,379.71
01/24/13,376.83,377.8,377.8,377.8
01/23/13,376.91,376.82,376.82,376.82
01/22/13,376.95,376.93,376.93,376.93
01/18/13,375.62,377.07,377.07,377.07
01/17/13,373.34,375.65,375.65,375.65
01/16/13,373.46,373.31,373.31,373.31
01/15/13,372.75,373.93,373.93,373.93
01/14/13,371.48,372.76,372.76,372.76
01/11/13,370.25,371.48,371.48,371.48
01/10/13,367.88,370.24,370.24,370.24
01/09/13,367.04,367.85,367.85,367.85
01/08/13,367.84,367.03,367.03,367.03
01/07/13,370.31,367.9,367.9,367.9
01/04/13,369.17,370.35,370.35,370.35
01/03/13,370.28,369.15,369.15,369.15
01/02/13,360.89,370.28,370.28,370.28
