Date, Open, High, Low, Close
02/19/13, 239.25, 241.31, 241.31, 241.31
02/15/13, 240.02, 239.26, 239.26, 239.26
02/14/13, 239.28, 240.03, 240.03, 240.03
02/13/13, 239.81, 239.29, 239.29, 239.29
02/12/13, 238.00, 239.83, 239.83, 239.84
02/11/13, 237.16, 238.04, 238.04, 238.04
02/08/13, 236.32, 237.18, 237.18, 237.18
02/07/13, 237.25, 236.33, 236.33, 236.33
02/06/13, 236.78, 237.26, 237.26, 237.26
02/05/13, 234.22, 236.87, 236.87, 236.87
02/04/13, 237.24, 234.20, 234.20, 234.20
02/01/13, 234.00, 237.28, 237.28, 237.28
01/31/13, 234.41, 234.02, 234.02, 234.02
01/30/13, 235.34, 234.43, 234.43, 234.43
01/29/13, 234.41, 235.48, 235.48, 235.48
01/28/13, 235.54, 234.49, 234.49, 234.49
01/25/13, 234.43, 235.54, 235.54, 235.54
01/24/13, 233.30, 234.44, 234.44, 234.44
01/23/13, 233.41, 233.34, 233.34, 233.34
01/22/13, 231.35, 233.43, 233.43, 233.43
01/18/13, 231.01, 231.35, 231.35, 231.35
01/17/13, 231.30, 231.01, 231.01, 231.01
01/16/13, 230.97, 231.25, 231.25, 231.25
01/15/13, 230.05, 230.97, 230.97, 230.97
01/14/13, 230.65, 230.06, 230.06, 230.06
01/11/13, 231.42, 230.65, 230.65, 230.65
01/10/13, 228.30, 231.44, 231.44, 231.44
01/09/13, 228.74, 228.29, 228.29, 228.29
01/08/13, 229.33, 228.74, 228.74, 228.74
01/07/13, 230.09, 229.34, 229.34, 229.34
01/04/13, 227.23, 230.09, 230.09, 230.09
01/03/13, 227.61, 227.23, 227.23, 227.23
01/02/13, 221.11, 227.61, 227.61, 227.61
12/31/12, 218.22, 221.24, 221.24, 221.24
12/28/12, 219.99, 218.22, 218.22, 218.22
12/27/12, 220.71, 220.01, 220.01, 220.01
12/26/12, 221.12, 220.79, 220.79, 220.79
12/24/12, 221.36, 221.12, 221.12, 221.12
12/21/12, 223.91, 221.36, 221.36, 221.36
12/20/12, 220.84, 223.92, 223.92, 223.92
12/19/12, 222.33, 220.84, 220.84, 220.84
12/18/12, 219.19, 222.37, 222.37, 222.37
12/17/12, 214.67, 219.18, 219.18, 219.18
