Date,Open,High,Low,Close,Volume
2014-09-16,157.57,158.78,158.78,158.78,1
2014-09-15,156.94,157.58,157.58,157.58,1
2014-09-12,158.83,156.92,156.92,156.92,1
2014-09-11,157.89,158.83,158.83,158.83,1
2014-09-10,158.26,157.89,157.89,157.89,1
2014-09-09,160.14,158.29,158.29,158.29,1
2014-09-08,161.18,160.13,160.13,160.13,1
2014-09-05,160.28,161.18,161.18,161.18,1
2014-09-04,160.61,160.29,160.29,160.29,1
2014-09-03,160.17,160.61,160.61,160.61,1
2014-09-02,160.57,160.16,160.16,160.16,1
2014-08-29,159.46,160.57,160.57,160.57,1
2014-08-28,159.46,159.46,159.46,159.46,1
2014-08-27,158.64,159.46,159.46,159.46,1
2014-08-26,158.67,158.75,158.75,158.75,1
2014-08-25,157.73,158.67,158.67,158.67,1
2014-08-22,158.35,157.72,157.72,157.72,1
2014-08-21,158.03,158.35,158.35,158.35,1
2014-08-20,157.72,158.03,158.03,158.03,1
2014-08-19,158.14,157.72,157.72,157.72,1
2014-08-18,158.33,158.13,158.13,158.13,1
2014-08-15,158.98,158.31,158.31,158.31,1
2014-08-14,158.45,158.98,158.98,158.98,1
2014-08-13,158.24,158.41,158.41,158.41,1
2014-08-12,157.53,158.24,158.24,158.24,1
2014-08-11,157.42,157.53,157.53,157.53,1
2014-08-08,156.64,157.42,157.42,157.42,1
2014-08-07,158.18,156.65,156.65,156.65,1
2014-08-06,160.25,158.24,158.24,158.24,1
2014-08-05,161.75,160.31,160.31,160.31,1
2014-08-04,160.79,161.77,161.77,161.77,1
2014-08-01,162.29,160.8,160.8,160.8,1
2014-07-31,166.01,162.31,162.31,162.31,1
2014-07-30,166.98,166.04,166.04,166.04,1
2014-07-29,164.06,167.01,167.01,167.01,1
2014-07-28,162.71,163.46,163.46,163.46,1
2014-07-25,162.31,162.71,162.71,162.71,1
2014-07-24,162.76,162.31,162.31,162.31,1
2014-07-23,162.95,162.75,162.75,162.75,1
2014-07-22,162.41,162.95,162.95,162.95,1
2014-07-21,162.88,162.42,162.42,162.42,1
2014-07-18,161.86,162.89,162.89,162.89,1
2014-07-17,163.81,161.85,161.85,161.85,1
2014-07-16,162.94,163.82,163.82,163.82,1
2014-07-15,161.89,162.94,162.94,162.94,1
2014-07-14,161.36,161.89,161.89,161.89,1
2014-07-11,160.12,161.35,161.35,161.35,1
2014-07-10,158.84,160.14,160.14,160.14,1
2014-07-09,158.43,158.86,158.86,158.86,1
2014-07-08,159.09,158.43,158.43,158.43,1
2014-07-07,160.4,160.83,160.83,160.83,1
2014-07-03,159.94,160.4,160.4,160.4,1
2014-07-02,159.18,159.94,159.94,159.94,1
2014-07-01,158.26,159.2,159.2,159.2,1
2014-06-30,158.8,158.25,158.25,158.25,1
2014-06-27,158.41,158.81,158.81,158.81,1
2014-06-26,158.72,158.42,158.42,158.42,1
2014-06-25,158.67,158.77,158.77,158.77,1
2014-06-24,159.68,158.67,158.67,158.67,1
2014-06-23,159.15,159.68,159.68,159.68,1
2014-06-20,159.34,159.15,159.15,159.15,1
2014-06-19,158.87,159.33,159.33,159.33,1
2014-06-18,158.08,158.84,158.84,158.84,1
2014-06-17,158.22,158.07,158.07,158.07,1
2014-06-16,158.04,158.23,158.23,158.23,1
2014-06-13,157.26,158.05,158.05,158.05,1
2014-06-12,157.7,157.26,157.26,157.26,1
2014-06-11,158.36,157.71,157.71,157.71,1
2014-06-10,158.54,158.36,158.36,158.36,1
2014-06-09,158.39,158.55,158.55,158.55,1
2014-06-06,158.39,158.39,158.39,158.39,1
2014-06-05,158.18,158.39,158.39,158.39,1
2014-06-04,158.81,158.33,158.33,158.33,1
2014-06-03,160.34,158.81,158.81,158.81,1
2014-06-02,160.3,160.34,160.34,160.34,1
2014-05-30,159.78,160.29,160.29,160.29,1
2014-05-29,159.82,159.78,159.78,159.78,1
2014-05-28,159.15,159.81,159.81,159.81,1
2014-05-27,159.55,159.14,159.14,159.14,1
2014-05-23,159.15,159.53,159.53,159.53,1
2014-05-22,158.4,159.15,159.15,159.15,1
2014-05-21,158.25,158.39,158.39,158.39,1
2014-05-20,160.91,158.25,158.25,158.25,1
2014-05-19,161.5,160.92,160.92,160.92,1
2014-05-16,159.31,161.51,161.51,161.51,1
2014-05-15,159.06,159.32,159.32,159.32,1
2014-05-14,158.29,159.09,159.09,159.09,1
2014-05-13,159.42,158.29,158.29,158.29,1
2014-05-12,159.66,159.42,159.42,159.42,1
2014-05-09,159.58,159.66,159.66,159.66,1
2014-05-08,157.14,159.59,159.59,159.59,1
2014-05-07,155.63,157.22,157.22,157.22,1
2014-05-06,156.2,155.69,155.69,155.69,1
2014-05-05,155.51,156.2,156.2,156.2,1
2014-05-02,155.6,155.51,155.51,155.51,1
2014-05-01,155.04,155.6,155.6,155.6,1
2014-04-30,154.49,155.04,155.04,155.04,1
2014-04-29,153.48,154.49,154.49,154.49,1
2014-04-28,151.29,153.46,153.46,153.46,1
2014-04-25,151.85,151.27,151.27,151.27,1
2014-04-24,154.51,151.85,151.85,151.85,1
2014-04-23,157.9,154.51,154.51,154.51,1
2014-04-22,157.55,157.9,157.9,157.9,1
2014-04-21,156.89,157.56,157.56,157.56,1
2014-04-17,156.32,156.89,156.89,156.89,1
2014-04-16,154.95,156.31,156.31,156.31,1
2014-04-15,154.77,154.94,154.94,154.94,1
2014-04-14,153.94,154.76,154.76,154.76,1
2014-04-11,154.46,153.93,153.93,153.93,1
2014-04-10,154.94,154.47,154.47,154.47,1
2014-04-09,156.04,154.93,154.93,154.93,1
2014-04-08,154.48,156.04,156.04,156.04,1
2014-04-07,156.27,156.23,156.23,156.23,1
2014-04-04,156.56,156.28,156.28,156.28,1
2014-04-03,155.51,156.57,156.57,156.57,1
2014-04-02,154.79,155.51,155.51,155.51,1
2014-04-01,154.39,154.78,154.78,154.78,1
2014-03-31,154.08,154.39,154.39,154.39,1
2014-03-28,154.22,154.08,154.08,154.08,1
2014-03-27,152.37,154.2,154.2,154.2,1
2014-03-26,152.87,152.42,152.42,152.42,1
2014-03-25,151.95,152.87,152.87,152.87,1
2014-03-24,151.45,151.95,151.95,151.95,1
2014-03-21,151.48,151.44,151.44,151.44,1
2014-03-20,147.83,151.48,151.48,151.48,1
2014-03-19,148.43,147.82,147.82,147.82,1
2014-03-18,147.44,148.43,148.43,148.43,1
2014-03-17,146.23,147.45,147.45,147.45,1
2014-03-14,145.8,146.23,146.23,146.23,1
2014-03-13,146.37,145.8,145.8,145.8,1
2014-03-12,146.63,146.35,146.35,146.35,1
2014-03-11,147.68,146.63,146.63,146.63,1
2014-03-10,148.09,147.68,147.68,147.68,1
2014-03-07,148.14,148.09,148.09,148.09,1
2014-03-06,147.59,148.14,148.14,148.14,1
2014-03-05,148.49,147.72,147.72,147.72,1
2014-03-04,146.91,148.53,148.53,148.53,1
2014-03-03,147.49,146.9,146.9,146.9,1
