S5RLST,S5TELS,S5COND,S5CONS,S5ENRS,S5FINL,S5HLTH,S5INDU,S5INFT,S5MATR,S5UTIL
237.42,177.67,947.67,638.77,431.48,494.04,1151.67,672.38,1513.86,369.07,319.77
236.0,176.54,943.85,634.57,424.81,489.21,1141.25,670.19,1508.54,369.22,317.48
234.26,176.69,953.48,635.73,431.49,495.74,1143.63,677.64,1521.44,371.7,315.9
238.43,178.24,960.79,634.09,431.37,498.96,1148.69,688.72,1542.98,375.24,318.36
239.49,178.89,968.21,635.0,435.78,500.03,1152.73,692.44,1548.18,376.96,318.81
238.72,177.77,960.24,634.26,434.42,498.15,1147.21,693.7,1539.37,376.2,318.51
235.33,177.13,952.54,629.08,438.86,498.74,1147.99,691.65,1538.32,374.24,317.3
235.2,176.92,944.15,627.97,438.15,495.51,1135.88,686.73,1516.67,371.93,318.47
236.48,176.69,938.08,628.86,439.68,491.78,1131.35,683.02,1518.52,371.36,318.39
239.81,176.25,943.0,632.24,432.61,492.26,1128.87,684.1,1525.92,371.81,319.57
239.74,177.66,945.67,631.08,428.17,494.73,1129.84,689.24,1537.04,376.26,317.58
239.3,178.12,954.93,632.65,434.57,493.95,1122.5,690.07,1533.31,377.47,318.39
238.11,177.63,951.74,629.27,440.43,493.22,1126.75,692.36,1529.44,378.32,317.84
236.73,176.38,950.36,628.7,437.5,490.99,1102.38,687.64,1516.68,378.6,317.0
234.76,175.85,947.05,629.53,438.79,490.55,1103.19,685.95,1518.68,376.75,316.28
232.27,175.11,950.7,624.18,441.05,493.38,1101.98,688.7,1514.87,378.56,311.71
233.61,175.28,954.04,623.97,446.13,494.49,1100.18,688.42,1509.6,377.42,313.06
234.16,174.64,953.78,623.85,449.78,494.41,1091.46,687.29,1500.8,375.94,314.25
236.71,173.48,959.19,626.25,442.79,491.13,1089.91,685.74,1490.83,373.53,318.54
235.74,173.83,958.64,622.98,453.17,489.12,1083.84,685.41,1491.04,373.87,317.71
239.97,173.95,957.26,621.43,451.12,487.06,1093.62,684.05,1493.2,372.93,321.0
242.52,173.25,956.17,627.3,437.36,482.76,1097.41,675.93,1485.07,370.03,325.17
243.21,171.82,950.01,627.29,426.66,475.99,1095.58,661.33,1467.2,364.73,325.85
244.09,171.36,954.41,628.6,428.68,478.62,1097.02,668.93,1468.97,368.78,324.36
242.59,171.03,948.69,625.69,437.97,479.31,1088.55,666.71,1460.08,368.83,321.58
241.66,172.68,954.33,625.95,436.14,477.97,1076.07,664.12,1473.62,366.38,321.23
244.29,170.68,950.76,627.09,438.87,475.59,1065.01,662.43,1455.22,365.33,325.49
247.52,169.48,952.78,630.4,435.5,473.26,1062.95,658.24,1438.0,361.56,329.07
